Frequency (Hz),Channel 2 Phase (*)
0.5000000000000004,-90.38121835835759
0.557095692097922,-85.12174285771512
0.6207112203081248,-84.64402154140426
0.6915910937409997,-91.77373039938892
0.7705648380328014,-96.32013400192052
0.8585567035004117,-102.3676106337855
0.9565964818837437,-106.8391181794342
1.065831558266922,-109.2817731519707
1.187540339225033,-114.8396181986734
1.32314721434954,-122.4183618509529
1.474239226250988,-127.8731621955641
1.642584644132396,-138.2491340090884
1.83015365830471,-138.8587524128573
2.03914143783761,-150.3878558522617
2.271993821195387,-148.7847839640636
2.531435940522089,-155.1936084165567
2.820504114573411,-158.758102419353
3.142581383546617,-161.2937227712675
3.501437101681893,-168.7725357021901
3.901271050997627,-163.5117347182621
4.346762592434217,-174.7771605732914
4.843125429634991,-178.0966827172333
5.396168626279095,-179.6261563587103
6.012364591068085,173.9125828627747
6.698924826012216,177.6317955801074
7.463884324518447,165.9838401158252
8.31619560701286,169.3792613720681
9.265833494621042,151.3201943032476
10.32391184710002,142.517809092406
11.50281363123623,130.1459530712713
12.8163358419339,124.0156174494338
14.27985097204313,127.263800354905
15.91048692065107,120.6370307070849
17.72732744535007,110.9539893676301
19.75163550442754,102.3856469367546
22.00710210280988,93.38146856558564
24.52012355406898,83.9379721270796
27.32011040336119,70.8759210316386
30.43983162670424,63.97238615260776
33.91579813484599,54.05514315404001
37.78869006997084,54.99570618385377
42.10383289600851,51.9022340812953
46.91172785435415,50.45850699360831
52.26864299306152,72.39764314423314
58.23727168647754,-30.37553142454098
64.88746635214578,53.10165813995712
72.29705595185847,55.75063115082486
80.55275684428544,24.14008341934921
89.75118764912553,21.73918779911568
100,27.86955453788403
