Frequency (Hz),Channel 2 Magnitude (V),Channel 2 Phase (*)
0.5,2.468732097,-11.31578368
0.525989253,2.531954538,-14.44879391
0.553329389,2.594575651,-13.33467482
0.582090624,2.657696371,-14.29146411
0.612346826,2.718919397,-11.28468184
0.644175699,2.77800054,-12.90471026
0.67765899,2.834241836,-13.31290147
0.712882692,2.887739583,-15.7747344
0.74993727,2.937623132,-15.60907127
0.788917889,2.98064328,-21.04689127
0.829924663,3.022531643,-18.73029819
0.873062907,3.058757856,-16.21674731
0.918443413,3.087454724,-12.99735261
0.96618273,3.110241421,-10.05797594
1.016403466,3.126732913,-6.274309557
1.0692346,3.139853812,-3.411622043
1.124811818,3.149528132,0.377532743
1.183277856,3.156128631,4.893248736
1.244782872,3.159060366,5.739663334
1.309484826,3.160279605,8.574702496
1.377549892,3.159986726,11.30128429
1.449152878,3.160967591,14.12661473
1.524477681,3.163460836,13.41268727
1.603717754,3.165892763,14.2825472
1.687076607,3.168184257,14.06926809
1.77476833,3.169841443,15.2043277
1.867018137,3.167171112,13.18429862
1.964062952,3.172134894,15.58938716
2.066152011,3.172613977,17.49475656
2.173547506,3.172137922,16.2819862
2.28652526,3.171272761,18.18522897
2.405375428,3.169928976,19.3251465
2.53040325,3.1671905,20.63386843
2.661929832,3.163479618,20.821566
2.800292969,3.158188833,20.74150856
2.945848016,3.15127353,23.20648123
3.098968796,3.143097384,23.32318202
3.260048566,3.134134378,25.2518823
3.429501022,3.124063885,25.91645466
3.607761363,3.112851149,24.74930327
3.795287411,3.100999492,25.80126901
3.992560782,3.087591432,24.7319129
4.200088129,3.073336837,23.84859848
4.418402437,3.057590144,23.51013651
4.648064397,3.040610283,26.43248901
4.889663843,3.022047839,28.28868813
5.143821267,3.001871666,27.93705526
5.411189414,2.98026112,28.64448453
5.692454958,2.95658117,22.18622225
5.988340266,2.931243022,25.72040164
6.299605249,2.903981047,27.90018427
6.627049322,2.874707547,27.80587196
6.971513449,2.843384966,21.49761125
7.333882306,2.80979576,18.5004482
7.715086556,2.77413852,4.678158891
8.116105233,2.736064541,-1.869732494
8.537968261,2.695803292,-5.072137177
8.981759101,2.653232377,-1.670099395
9.448617525,2.608677988,6.046339097
9.939742553,2.561349372,3.779327666
10.45639553,2.51222573,2.718612235
10.99990335,2.461196392,9.092103588
11.5716619,2.407832436,15.97022631
12.1731396,2.352763534,20.55970685
12.80588122,2.295954843,23.07928391
13.4715118,2.237859796,25.38571527
14.17174086,2.178475587,23.87826112
14.90836679,2.118055242,24.81210818
15.68328143,2.05679414,28.0455295
16.49847497,1.994959115,29.45713822
17.35604106,1.932851515,30.96218574
18.25818216,1.870537054,32.0898238
19.2072152,1.808078917,32.33348401
20.20557756,1.745756888,37.25899838
21.2558333,1.683725071,33.96195689
22.36067977,1.6222212,37.78831209
23.52295451,1.562229735,39.43700416
24.74564256,1.502049107,43.47034003
26.0318841,1.442720404,45.27272117
27.38498256,1.384354854,54.03145739
28.80841306,1.327213289,58.60771571
30.30583134,1.271113469,63.50882355
31.8810832,1.216301069,60.68907032
33.53821429,1.163032466,71.7771805
35.28148058,1.11155148,76.55341215
37.11535925,1.061811816,78.4693194
39.04456019,1.014521607,74.82518873
41.07403812,0.969503498,76.78053003
43.20900528,0.927085011,75.05020778
45.45494484,0.886803108,78.02227873
47.81762499,0.8480597,85.44487027
50.30311372,0.811118965,97.41566433
52.91779445,0.775026065,103.1451375
55.66838237,0.741236919,124.2741326
58.56194175,0.708319862,126.7346626
61.60590402,0.676618538,135.8170599
64.80808691,0.646489835,149.7908248
68.17671448,0.61832003,149.0009409
71.72043828,0.589917629,149.7138809
75.44835955,0.563627587,158.1150272
79.3700526,0.537960855,159.9431693
83.4955894,0.514328931,161.5573946
87.83556544,0.491022994,162.953916
92.40112695,0.468281442,164.5913422
97.20399953,0.44734576,168.1544002
102.2565183,0.426094167,167.0368698
107.5716594,0.40713821,170.3521001
113.1630736,0.3881509,170.4093091
119.0451211,0.370081675,165.644618
125.2329087,0.353569006,161.3860411
131.7423283,0.338109163,167.7410377
138.5900978,0.323486383,155.1651094
145.7938041,0.308948183,135.4000095
153.3719483,0.295506271,110.7556652
161.3439931,0.282546784,94.53950507
169.7304129,0.270018624,67.38593397
178.5527463,0.258213987,55.80826594
187.8336513,0.24688822,74.06697184
197.596964,0.235963007,71.03926806
207.8677591,0.225549606,43.39976515
218.6724148,0.215591604,66.70459577
230.0386803,0.205941439,65.15129664
241.9957474,0.19672578,87.58378455
254.5743249,0.187982135,146.773084
267.8067181,0.179526599,155.4443516
281.7269114,0.171561437,159.9024416
296.3706555,0.163952486,144.6042676
311.7755595,0.156596538,144.8096823
327.9811875,0.149473284,94.56968243
345.0291598,0.142716992,81.11246088
362.9632602,0.136219361,84.64860148
381.8295484,0.129774889,104.0501905
401.6764781,0.124040024,153.5049866
422.5550216,0.11803184,168.8082261
444.5188005,0.112609729,175.1787168
467.6242239,0.106905069,-174.8619487
491.9306327,0.101658354,-179.3277852
517.5004523,0.096512926,170.4807216
544.3993529,0.09153506,172.4417048
572.6964183,0.08698772,89.5660425
602.4643228,0.082522661,78.70913218
633.7795185,0.07814474,48.72847766
666.7224314,0.074027203,41.7173717
701.3776677,0.069961612,51.19617294
737.8342313,0.066114221,68.08111926
776.1857528,0.062457614,60.04145413
816.530729,0.058572359,78.44220833
858.9727768,0.055036752,65.21550603
903.6208989,0.051728644,55.41711731
950.5897637,0.048517504,54.08820369
1000,0.045292187,57.80258311
